Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
0.0,,0.023531656001068768,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,264.0,6.0
0.0,,2.5665828790006344,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,317.0,8.000000000000002
0.0,,5.167102966001039,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,323.0,9.0
80.0,80.0,0.0,0.0,0.0,,7.689887149999777,0.0,0.0,0.0,77.0,0.0
80.0,80.0,0.0,0.0,0.0,,10.21866106500056,0.0,0.0,0.0,140.0,0.0
0.0,,12.776683611000408,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,238.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,15.34530360899953,0.0,0.0,0.0,300.0,0.0
0.0,,17.874385921000794,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,254.0,9.0
80.0,80.0,0.0,0.0,0.0,,20.46760376200109,0.0,0.0,0.0,47.0,0.0
80.0,80.0,0.0,0.0,0.0,,22.971504987001026,0.0,0.0,0.0,229.0,0.0
80.0,80.0,0.0,0.0,0.0,,25.476934504000383,0.0,0.0,0.0,389.0,0.0
80.0,80.0,0.0,0.0,0.0,,27.98206558000129,0.0,0.0,0.0,205.0,0.0
80.0,80.0,0.0,0.0,0.0,,30.51366538000002,0.0,0.0,0.0,361.0,0.0
0.0,,33.07225465400006,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,77.0,9.0
0.0,,35.6875188160011,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,379.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,38.22716146300081,0.0,0.0,0.0,131.0,0.0
80.0,80.0,0.0,0.0,0.0,,40.76030291000097,0.0,0.0,0.0,145.0,0.0
0.0,,43.305592390999664,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,408.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,45.84226588000092,0.0,0.0,0.0,196.0,0.0
80.0,80.0,0.0,0.0,0.0,,48.37298202800048,0.0,0.0,0.0,240.0,0.0
0.0,,50.914403405000485,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,82.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,53.50571296199996,0.0,0.0,0.0,324.0,0.0
80.0,80.0,0.0,0.0,0.0,,56.03644311300013,0.0,0.0,0.0,74.0,0.0
80.0,80.0,0.0,0.0,0.0,,58.57398068400107,0.0,0.0,0.0,247.0,0.0
0.0,,61.12617922600111,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,413.0,7.000000000000001
0.0,,63.74174056500124,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,419.0,6.0
80.0,80.0,0.0,0.0,0.0,,66.30251053000029,0.0,0.0,0.0,263.0,0.0
80.0,80.0,0.0,0.0,0.0,,68.84987202900084,0.0,0.0,0.0,346.0,0.0
0.0,,71.42047317800098,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,53.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,73.97694249199958,0.0,0.0,0.0,255.0,0.0
0.0,,76.54515351900045,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,308.0,9.0
0.0,,79.11902925399954,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,339.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,81.67021026000111,0.0,0.0,0.0,82.0,0.0
