Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
1.0,4.0,0.028593778000868042,1.6347070270003314,90.0,90.0,0.0,0.0,1.642832379000538,-4.999999999999999,176.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,3.041680742999233,0.0,0.0,0.0,301.0,0.0
80.0,80.0,0.0,0.0,0.0,,5.578230246999738,0.0,0.0,0.0,93.0,0.0
80.0,80.0,0.0,0.0,0.0,,8.142670231000011,0.0,0.0,0.0,139.0,0.0
80.0,80.0,0.0,0.0,0.0,,10.651484439000342,0.0,0.0,0.0,141.0,0.0
80.0,80.0,0.0,0.0,0.0,,13.157406745000117,0.0,0.0,0.0,29.0,0.0
0.0,,15.716840630999286,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,198.0,6.0
1.0,2.0,18.320041163000496,19.79793091099964,90.0,90.0,0.0,0.0,19.809631223000906,-4.999999999999999,383.0,9.0
0.0,,21.359813049999502,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,374.0,9.0
80.0,80.0,0.0,0.0,0.0,,23.980818560999978,0.0,0.0,0.0,110.0,0.0
80.0,80.0,0.0,0.0,0.0,,26.488887224999417,0.0,0.0,0.0,243.0,0.0
80.0,80.0,0.0,0.0,0.0,,29.003308380000817,0.0,0.0,0.0,277.0,0.0
1.0,4.0,31.536481052000454,32.58649245199922,90.0,90.0,0.0,0.0,32.5911855939994,-7.000000000000001,217.0,6.0
0.0,,34.604355855000904,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,21.0,9.0
80.0,80.0,0.0,0.0,0.0,,37.16522941000039,0.0,0.0,0.0,203.0,0.0
80.0,80.0,0.0,0.0,0.0,,39.67876708100084,0.0,0.0,0.0,360.0,0.0
0.0,,42.226356924000356,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,30.0,9.0
80.0,80.0,0.0,0.0,0.0,,44.83412683999995,0.0,0.0,0.0,222.0,0.0
80.0,80.0,0.0,0.0,0.0,,47.348032165000404,0.0,0.0,0.0,86.0,0.0
80.0,80.0,0.0,0.0,0.0,,49.85067221200006,0.0,0.0,0.0,284.0,0.0
0.0,,52.409696229000474,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,190.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,54.970859962999384,0.0,0.0,0.0,41.0,0.0
0.0,,57.55162935699991,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,218.0,7.000000000000001
0.0,,60.114963460999206,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,391.0,8.000000000000002
0.0,,62.70444635199965,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,352.0,9.0
80.0,80.0,0.0,0.0,0.0,,65.30237853200015,0.0,0.0,0.0,255.0,0.0
80.0,80.0,0.0,0.0,0.0,,67.83086377200016,0.0,0.0,0.0,109.0,0.0
0.0,,70.42012543199962,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,72.0,9.0
80.0,80.0,0.0,0.0,0.0,,73.01660257799995,0.0,0.0,0.0,337.0,0.0
0.0,,75.61135733999981,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,135.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,78.21844029199929,0.0,0.0,0.0,127.0,0.0
80.0,80.0,0.0,0.0,0.0,,80.76531351700032,0.0,0.0,0.0,18.0,0.0
80.0,80.0,0.0,0.0,0.0,,83.29991382600019,0.0,0.0,0.0,381.0,0.0
80.0,80.0,0.0,0.0,0.0,,85.82457437099947,0.0,0.0,0.0,356.0,0.0
80.0,80.0,0.0,0.0,0.0,,88.35201699699974,0.0,0.0,0.0,211.0,0.0
0.0,,90.90213919599955,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,164.0,6.0
80.0,80.0,0.0,0.0,0.0,,93.48583539600077,0.0,0.0,0.0,74.0,0.0
80.0,80.0,0.0,0.0,0.0,,96.0307145200004,0.0,0.0,0.0,284.0,0.0
80.0,80.0,0.0,0.0,0.0,,98.56277210400003,0.0,0.0,0.0,94.0,0.0
80.0,80.0,0.0,0.0,0.0,,101.11010253099994,0.0,0.0,0.0,37.0,0.0
80.0,80.0,0.0,0.0,0.0,,103.62329672399937,0.0,0.0,0.0,301.0,0.0
80.0,80.0,0.0,0.0,0.0,,106.13284091999958,0.0,0.0,0.0,4.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,108.66760248299943,109.02003181500004,109.03691917300057,0.0,72.0,0.0
0.0,,111.21744150499944,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,361.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,113.83967289199973,0.0,0.0,0.0,268.0,0.0
1.0,4.0,116.41325114400024,117.67362852400038,90.0,90.0,0.0,0.0,117.68625457400049,7.000000000000001,288.0,7.000000000000001
