Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.021905777000029047,-4.999999999999999,234.0,6.0,0.3,1
1.0,2.0,5.057708606000233,4.999999999999999,279.0,9.0,0.1,2
1.0,4.0,10.425514315000328,-7.000000000000001,208.0,6.0,0.7,1
1.0,1.0,15.232142038999882,-4.999999999999999,394.0,7.000000000000001,0.2,1
1.0,4.0,20.016819536000185,4.999999999999999,283.0,9.0,0.5,2
1.0,4.0,24.634344183000394,-7.000000000000001,213.0,9.0,0.4,1
1.0,4.0,29.279577754000456,7.000000000000001,136.0,8.000000000000002,0.6,2
1.0,2.0,33.8882567769997,-7.000000000000001,310.0,8.000000000000002,0.3,2
1.0,1.0,38.60068359300021,4.999999999999999,187.0,7.000000000000001,0.1,2
1.0,4.0,43.29657711300024,7.000000000000001,425.0,6.0,0.7,2
1.0,1.0,48.06348233999961,-7.000000000000001,49.0,9.0,0.2,1
1.0,4.0,52.79428701100005,7.000000000000001,105.0,7.000000000000001,0.5,2
1.0,4.0,57.43846355599999,4.999999999999999,290.0,8.000000000000002,0.4,2
1.0,4.0,62.07137016300021,7.000000000000001,59.0,6.0,0.6,2
1.0,3.0,66.69800653699986,-4.999999999999999,330.0,6.0,0.3,1
1.0,1.0,71.3461602919997,-4.999999999999999,335.0,6.0,0.1,2
1.0,4.0,76.00291074800043,-4.999999999999999,332.0,6.0,0.7,1
1.0,1.0,80.6648330449998,7.000000000000001,188.0,7.000000000000001,0.2,2
1.0,4.0,86.10289961099988,7.000000000000001,257.0,8.000000000000002,0.5,2
1.0,4.0,90.69754146499963,7.000000000000001,142.0,9.0,0.4,2
