Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
0.0,,0.023780468007316813,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,120.0,6.0
1.0,4.0,2.627951545000542,4.065203892998397,90.0,90.0,0.0,0.0,4.079605333012296,7.000000000000001,325.0,9.0
80.0,80.0,0.0,0.0,0.0,,5.648487898986787,0.0,0.0,0.0,316.0,0.0
1.0,4.0,8.185596325987717,8.884784721012693,90.0,90.0,0.0,0.0,8.890155038010562,-4.999999999999999,347.0,6.0
80.0,80.0,0.0,0.0,0.0,,11.226034143997822,0.0,0.0,0.0,285.0,0.0
80.0,80.0,0.0,0.0,1.0,1.0,13.794843484007288,15.60566996500711,15.614056908991188,0.0,238.0,0.0
80.0,80.0,0.0,0.0,0.0,,16.512012048013275,0.0,0.0,0.0,127.0,0.0
80.0,80.0,0.0,0.0,0.0,,19.0285938270099,0.0,0.0,0.0,170.0,0.0
80.0,80.0,0.0,0.0,0.0,,21.55596378399059,0.0,0.0,0.0,274.0,0.0
80.0,80.0,0.0,0.0,0.0,,24.102292102994397,0.0,0.0,0.0,264.0,0.0
0.0,,26.663743331009755,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,197.0,6.0
80.0,80.0,0.0,0.0,0.0,,29.186773813999025,0.0,0.0,0.0,44.0,0.0
80.0,80.0,0.0,0.0,0.0,,31.73990140898968,0.0,0.0,0.0,241.0,0.0
80.0,80.0,0.0,0.0,0.0,,34.284082383994246,0.0,0.0,0.0,256.0,0.0
0.0,,36.8672499670065,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,200.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,39.46150510699954,0.0,0.0,0.0,56.0,0.0
80.0,80.0,0.0,0.0,0.0,,41.964859105995856,0.0,0.0,0.0,118.0,0.0
80.0,80.0,0.0,0.0,0.0,,44.46842557701166,0.0,0.0,0.0,46.0,0.0
80.0,80.0,0.0,0.0,0.0,,47.03773759200703,0.0,0.0,0.0,358.0,0.0
80.0,80.0,0.0,0.0,0.0,,49.60506131299189,0.0,0.0,0.0,205.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,52.143374481995124,54.67156013599015,54.67974914400838,0.0,346.0,0.0
80.0,80.0,0.0,0.0,0.0,,55.76003570298781,0.0,0.0,0.0,335.0,0.0
80.0,80.0,0.0,0.0,0.0,,58.317262383992784,0.0,0.0,0.0,207.0,0.0
0.0,,60.949023616994964,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,272.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,63.5013996429916,0.0,0.0,0.0,67.0,0.0
80.0,80.0,0.0,0.0,0.0,,66.02971304100356,0.0,0.0,0.0,222.0,0.0
80.0,80.0,0.0,0.0,0.0,,68.54338083098992,0.0,0.0,0.0,164.0,0.0
80.0,80.0,0.0,0.0,0.0,,71.09488486000919,0.0,0.0,0.0,125.0,0.0
0.0,,73.68174535199068,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,150.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,76.263163591997,0.0,0.0,0.0,397.0,0.0
80.0,80.0,0.0,0.0,0.0,,78.79520230100024,0.0,0.0,0.0,108.0,0.0
80.0,80.0,0.0,0.0,0.0,,81.34984191000694,0.0,0.0,0.0,270.0,0.0
80.0,80.0,0.0,0.0,0.0,,83.91430205499637,0.0,0.0,0.0,89.0,0.0
80.0,80.0,0.0,0.0,0.0,,86.4408784469997,0.0,0.0,0.0,29.0,0.0
80.0,80.0,0.0,0.0,0.0,,88.95124562899582,0.0,0.0,0.0,51.0,0.0
80.0,80.0,0.0,0.0,0.0,,91.46615255900542,0.0,0.0,0.0,337.0,0.0
1.0,4.0,94.07781763799721,94.8149057450064,90.0,90.0,0.0,0.0,94.8301502839895,-7.000000000000001,346.0,6.0
80.0,80.0,0.0,0.0,0.0,,97.15216608598712,0.0,0.0,0.0,325.0,0.0
0.0,,99.67866398300976,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,365.0,8.000000000000002
0.0,,102.33828487500432,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,220.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,104.90987077300088,0.0,0.0,0.0,403.0,0.0
0.0,,107.48839448500075,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,184.0,9.0
1.0,2.0,110.10609303900856,112.47035623001284,90.0,90.0,0.0,0.0,112.47788619200583,4.999999999999999,178.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,113.93648791901069,0.0,0.0,0.0,268.0,0.0
80.0,80.0,0.0,0.0,0.0,,116.49965350801358,0.0,0.0,0.0,234.0,0.0
1.0,4.0,119.03254512799322,120.07440298600704,90.0,90.0,0.0,0.0,120.09728193900082,4.999999999999999,113.0,7.000000000000001
0.0,,122.07479254200007,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,284.0,6.0
80.0,80.0,0.0,0.0,0.0,,124.64163846100564,0.0,0.0,0.0,8.0,0.0
0.0,,127.2199360000086,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,170.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,129.8755074510118,0.0,0.0,0.0,57.0,0.0
80.0,80.0,0.0,0.0,0.0,,132.43496549400152,0.0,0.0,0.0,228.0,0.0
0.0,,134.98236694399384,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,424.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,137.61429839700577,0.0,0.0,0.0,419.0,0.0
80.0,80.0,0.0,0.0,0.0,,140.17442738599493,0.0,0.0,0.0,105.0,0.0
80.0,80.0,0.0,0.0,0.0,,142.7070971489884,0.0,0.0,0.0,421.0,0.0
80.0,80.0,0.0,0.0,0.0,,145.24187130198698,0.0,0.0,0.0,6.0,0.0
80.0,80.0,0.0,0.0,0.0,,147.7780420340132,0.0,0.0,0.0,342.0,0.0
80.0,80.0,0.0,0.0,0.0,,150.2911464390054,0.0,0.0,0.0,351.0,0.0
0.0,,152.82561743000406,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,197.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,155.44460061599966,0.0,0.0,0.0,388.0,0.0
0.0,,158.1176467309997,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,193.0,9.0
80.0,80.0,0.0,0.0,0.0,,160.71821903198725,0.0,0.0,0.0,8.0,0.0
80.0,80.0,0.0,0.0,0.0,,163.23293290598667,0.0,0.0,0.0,357.0,0.0
0.0,,165.84311571001308,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,299.0,8.000000000000002
1.0,4.0,168.4037318190094,169.24028649399406,90.0,90.0,0.0,0.0,169.25400648999494,-4.999999999999999,144.0,6.0
80.0,80.0,0.0,0.0,0.0,,171.464031815005,0.0,0.0,0.0,83.0,0.0
1.0,3.0,174.07711544100312,175.0674343869905,90.0,90.0,0.0,0.0,175.0718506760022,4.999999999999999,111.0,6.0
80.0,80.0,0.0,0.0,0.0,,177.12904858600814,0.0,0.0,0.0,168.0,0.0
80.0,80.0,0.0,0.0,0.0,,179.692736521014,0.0,0.0,0.0,212.0,0.0
0.0,,182.27301830300712,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,412.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,184.81664458900923,0.0,0.0,0.0,351.0,0.0
80.0,80.0,0.0,0.0,0.0,,187.37374581501354,0.0,0.0,0.0,123.0,0.0
80.0,80.0,0.0,0.0,0.0,,189.8933008800086,0.0,0.0,0.0,1.0,0.0
80.0,80.0,0.0,0.0,0.0,,192.44283550599357,0.0,0.0,0.0,1.0,0.0
80.0,80.0,0.0,0.0,0.0,,194.98758452900802,0.0,0.0,0.0,390.0,0.0
1.0,4.0,197.5552583039971,198.61868429699098,90.0,90.0,0.0,0.0,198.6239116769866,-4.999999999999999,62.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,200.62501462400542,0.0,0.0,0.0,197.0,0.0
80.0,80.0,0.0,0.0,0.0,,203.13728361201356,0.0,0.0,0.0,382.0,0.0
80.0,80.0,0.0,0.0,0.0,,205.646852417005,0.0,0.0,0.0,50.0,0.0
80.0,80.0,0.0,0.0,0.0,,208.20180843499838,0.0,0.0,0.0,43.0,0.0
80.0,80.0,0.0,0.0,0.0,,210.7019908860093,0.0,0.0,0.0,306.0,0.0
80.0,80.0,0.0,0.0,0.0,,213.2411835679959,0.0,0.0,0.0,323.0,0.0
80.0,80.0,0.0,0.0,0.0,,215.75885345498682,0.0,0.0,0.0,384.0,0.0
80.0,80.0,0.0,0.0,0.0,,218.28907005200745,0.0,0.0,0.0,380.0,0.0
