Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.017385633000230882,-7.000000000000001,197.0,8.000000000000002,0.5,1
1.0,1.0,5.833636203000424,7.000000000000001,33.0,6.0,0.4,0
1.0,4.0,13.322553676000098,-7.000000000000001,283.0,7.000000000000001,0.7,1
1.0,4.0,18.658313735000775,-7.000000000000001,108.0,6.0,0.6,1
1.0,1.0,25.67319508699984,4.999999999999999,40.0,7.000000000000001,0.1,0
1.0,3.0,33.08186195300004,4.999999999999999,190.0,6.0,0.2,2
1.0,1.0,38.65917870500016,7.000000000000001,150.0,9.0,0.3,0
1.0,4.0,46.34634734800056,7.000000000000001,141.0,6.0,0.5,2
1.0,4.0,54.56257108099999,4.999999999999999,134.0,9.0,0.4,2
1.0,4.0,59.51459544200043,4.999999999999999,300.0,9.0,0.7,2
1.0,4.0,64.2735065529996,4.999999999999999,167.0,7.000000000000001,0.6,2
1.0,2.0,69.52168389799954,-4.999999999999999,167.0,7.000000000000001,0.1,1
1.0,1.0,75.78946609900049,7.000000000000001,156.0,6.0,0.2,0
1.0,1.0,83.40177457900063,-7.000000000000001,212.0,8.000000000000002,0.3,0
1.0,4.0,90.81797809499949,7.000000000000001,7.0,7.000000000000001,0.5,2
1.0,2.0,96.81859356099994,-7.000000000000001,8.0,8.000000000000002,0.4,1
1.0,4.0,102.24183756300044,-7.000000000000001,402.0,7.000000000000001,0.7,1
1.0,4.0,106.78648896099912,-4.999999999999999,82.0,7.000000000000001,0.6,1
1.0,1.0,112.36301295900012,7.000000000000001,346.0,9.0,0.1,0
1.0,1.0,119.69806511699971,7.000000000000001,345.0,8.000000000000002,0.2,0
