Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,0.0,,3.173200002493104e-05,0.0,0.0,0.0,24.0,0.0
80.0,80.0,0.0,0.0,0.0,,2.546502120999776,0.0,0.0,0.0,109.0,0.0
80.0,80.0,0.0,0.0,0.0,,5.108273763999932,0.0,0.0,0.0,228.0,0.0
80.0,80.0,0.0,0.0,0.0,,7.646778175999771,0.0,0.0,0.0,149.0,0.0
0.0,,10.200542124999629,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,143.0,9.0
80.0,80.0,0.0,0.0,0.0,,12.733619999999974,0.0,0.0,0.0,71.0,0.0
1.0,2.0,15.27300398899979,16.036722630999975,90.0,90.0,0.0,0.0,16.043002835999687,-4.999999999999999,242.0,7.000000000000001
0.0,,18.442109920999883,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,75.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,21.0097352329999,0.0,0.0,0.0,421.0,0.0
80.0,80.0,0.0,0.0,0.0,,23.57107052299989,0.0,0.0,0.0,78.0,0.0
80.0,80.0,0.0,0.0,0.0,,26.137256844999683,0.0,0.0,0.0,188.0,0.0
80.0,80.0,0.0,0.0,0.0,,28.650621013999626,0.0,0.0,0.0,391.0,0.0
0.0,,31.23904572299989,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,70.0,9.0
80.0,80.0,0.0,0.0,0.0,,33.78670608199991,0.0,0.0,0.0,90.0,0.0
1.0,3.0,36.30742487799989,37.258665176999784,90.0,90.0,0.0,0.0,37.27778645199987,-7.000000000000001,93.0,8.000000000000002
0.0,,39.42592139899989,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,400.0,6.0
80.0,80.0,0.0,0.0,0.0,,41.98612508499991,0.0,0.0,0.0,59.0,0.0
80.0,80.0,0.0,0.0,0.0,,44.543589532999704,0.0,0.0,0.0,321.0,0.0
0.0,,47.10335496699963,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,103.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,49.67893620899986,0.0,0.0,0.0,419.0,0.0
0.0,,52.2488399609997,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,78.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,54.819333257999915,0.0,0.0,0.0,274.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,57.31972301799988,57.45508406099998,57.463534267999876,0.0,328.0,0.0
1.0,3.0,59.87379221499987,60.75566622799988,90.0,90.0,0.0,0.0,60.76864613399994,7.000000000000001,199.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,62.899177623000014,0.0,0.0,0.0,121.0,0.0
80.0,80.0,0.0,0.0,0.0,,65.46287083299967,0.0,0.0,0.0,330.0,0.0
80.0,80.0,0.0,0.0,0.0,,67.96316345399964,0.0,0.0,0.0,200.0,0.0
