Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.018674471000167614,7.000000000000001,289.0,9.0,0.5,2
1.0,2.0,4.401654374000145,-4.999999999999999,115.0,7.000000000000001,0.1,1
1.0,2.0,9.010557338000126,-4.999999999999999,323.0,9.0,0.4,1
1.0,3.0,15.153993921000165,4.999999999999999,294.0,6.0,0.2,1
1.0,2.0,20.48249869899996,7.000000000000001,253.0,6.0,0.3,1
1.0,2.0,26.425819029999957,-4.999999999999999,196.0,9.0,0.6,1
1.0,4.0,31.74516695000011,-4.999999999999999,286.0,6.0,0.7,1
1.0,4.0,37.353078531000165,4.999999999999999,153.0,9.0,0.5,2
1.0,1.0,42.20124923800017,-4.999999999999999,169.0,8.000000000000002,0.1,1
1.0,4.0,46.88947156500012,-4.999999999999999,349.0,7.000000000000001,0.4,1
1.0,1.0,51.54603817600014,4.999999999999999,105.0,8.000000000000002,0.2,2
1.0,4.0,57.354614497000284,7.000000000000001,123.0,6.0,0.3,2
1.0,4.0,61.857804945,4.999999999999999,217.0,9.0,0.6,2
1.0,4.0,66.36973796799998,4.999999999999999,93.0,8.000000000000002,0.7,2
1.0,4.0,71.0018272310001,-4.999999999999999,263.0,9.0,0.5,1
1.0,2.0,75.44195106400025,7.000000000000001,39.0,7.000000000000001,0.1,1
1.0,4.0,80.20976173300028,-4.999999999999999,318.0,6.0,0.4,1
1.0,1.0,84.76114643799997,-7.000000000000001,289.0,8.000000000000002,0.2,1
1.0,4.0,89.85758581599998,4.999999999999999,1.0,9.0,0.3,2
1.0,4.0,94.2412982960002,-7.000000000000001,67.0,9.0,0.6,1
