Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,0.0,,2.8780999855371192e-05,0.0,0.0,0.0,350.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,2.531789283999842,4.214657190999787,4.221359041000142,0.0,318.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,5.042087246999927,5.999838445000023,6.006325153000034,0.0,430.0,0.0
80.0,80.0,0.0,0.0,0.0,,7.609523712999817,0.0,0.0,0.0,46.0,0.0
1.0,3.0,10.17093078500011,11.31951073900018,90.0,90.0,0.0,0.0,11.330998735999856,-7.000000000000001,258.0,9.0
80.0,80.0,0.0,0.0,0.0,,13.216406211000049,0.0,0.0,0.0,182.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,15.71849193099979,16.787913644000128,16.794661286000064,0.0,237.0,0.0
0.0,,18.304396003999955,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,226.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,4.0,20.855494980999993,22.391194598999846,22.402620095000202,0.0,243.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,23.388418559,24.072840670000005,24.087233077999826,0.0,3.0,0.0
80.0,80.0,0.0,0.0,0.0,,25.935034260000066,0.0,0.0,0.0,164.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,28.465510921999794,28.66885929,28.678216911000163,0.0,230.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,30.983752753999852,33.46400165800014,33.47071238799981,0.0,396.0,0.0
80.0,80.0,0.0,0.0,0.0,,33.83221495099997,0.0,0.0,0.0,327.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,36.39478278700017,37.934214840000095,37.94632684399994,0.0,385.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,38.917604698000105,40.339453841999784,40.3466220639998,0.0,12.0,0.0
80.0,80.0,0.0,0.0,0.0,,41.46394116400006,0.0,0.0,0.0,119.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,44.008747780999784,45.69223937900006,45.706953945999885,0.0,350.0,0.0
0.0,,46.56240529500019,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,386.0,9.0
1.0,2.0,49.138823755999965,51.27296988399985,90.0,90.0,0.0,0.0,51.280528758999935,4.999999999999999,85.0,9.0
0.0,,52.22322828799997,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,325.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,3.0,54.82567882500007,55.84128560499994,55.85715257999982,0.0,397.0,0.0
80.0,80.0,0.0,0.0,0.0,,57.39286961700009,0.0,0.0,0.0,48.0,0.0
1.0,1.0,59.965713166000114,60.51132444899986,90.0,90.0,0.0,0.0,60.51699659999986,-4.999999999999999,272.0,7.000000000000001
1.0,4.0,62.495500746999824,63.90419761200019,90.0,90.0,0.0,0.0,63.921995641000194,-7.000000000000001,400.0,9.0
80.0,80.0,0.0,0.0,1.0,3.0,65.57997747299987,68.05332269100018,68.0614160680002,0.0,151.0,0.0
80.0,80.0,0.0,0.0,0.0,,68.43231670900013,0.0,0.0,0.0,15.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,70.98575392800012,71.72757735699997,71.73311421900007,0.0,35.0,0.0
80.0,80.0,0.0,0.0,0.0,,73.54656391800017,0.0,0.0,0.0,353.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,76.07771805399989,77.08916103399997,77.09471931799999,0.0,371.0,0.0
80.0,80.0,0.0,0.0,0.0,,78.63009523099981,0.0,0.0,0.0,231.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,81.18166817300016,82.86331671400012,82.86998592100008,0.0,27.0,0.0
0.0,,83.7510731719999,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,245.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,2.0,86.34114407600009,88.81104305300005,88.83032244600008,0.0,131.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,89.1441746710002,91.4821496290001,91.49970378599983,0.0,412.0,0.0
0.0,,91.93803684900013,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,161.0,6.0
80.0,80.0,0.0,0.0,0.0,,94.48280845,0.0,0.0,0.0,21.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,97.01356887100019,99.2158133779999,99.23109477400021,0.0,299.0,0.0
0.0,,99.5635597139999,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,253.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,102.1386502360001,0.0,0.0,0.0,134.0,0.0
1.0,4.0,104.6964778749998,105.50359640199986,90.0,90.0,0.0,0.0,105.52028180800016,4.999999999999999,212.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,107.71788895600002,0.0,0.0,0.0,144.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,110.26472457099999,110.46846796799991,110.48002312500012,0.0,106.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,112.77688801900013,115.26598143399997,115.27227184200001,0.0,60.0,0.0
80.0,80.0,0.0,0.0,0.0,,115.67220755200015,0.0,0.0,0.0,291.0,0.0
0.0,,118.23579641000015,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,385.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,3.0,120.837935904,121.5786297730001,121.5844638120002,0.0,360.0,0.0
80.0,80.0,0.0,0.0,0.0,,123.34540508200007,0.0,0.0,0.0,101.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,125.89340174100016,126.29228470899989,126.30575754199981,0.0,168.0,0.0
80.0,80.0,0.0,0.0,1.0,1.0,128.42029431799983,128.48717924699986,128.49524927799985,0.0,167.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,130.98608288000014,131.79830294900012,131.81616297900018,0.0,40.0,0.0
80.0,80.0,0.0,0.0,0.0,,133.5123707480002,0.0,0.0,0.0,27.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,136.05688681699985,136.79915799699984,136.80649838499994,0.0,146.0,0.0
80.0,80.0,0.0,0.0,1.0,3.0,138.61823549300016,141.13810698199995,141.14768016100015,0.0,121.0,0.0
80.0,80.0,0.0,0.0,0.0,,141.2880567269999,0.0,0.0,0.0,95.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,143.84923738899988,146.4055092990002,146.42403302699995,0.0,53.0,0.0
80.0,80.0,0.0,0.0,0.0,,146.7442365500001,0.0,0.0,0.0,40.0,0.0
80.0,80.0,0.0,0.0,0.0,,149.28582505399982,0.0,0.0,0.0,76.0,0.0
80.0,80.0,0.0,0.0,1.0,1.0,151.83749329900002,154.3386706360002,154.35649715599993,0.0,429.0,0.0
80.0,80.0,0.0,0.0,0.0,,154.55214494500024,0.0,0.0,0.0,217.0,0.0
80.0,80.0,0.0,0.0,1.0,4.0,157.0854574750001,159.44384171499996,159.449380217,0.0,246.0,0.0
1.0,3.0,159.69020994899984,161.23338006999984,90.0,90.0,0.0,0.0,161.24909484699992,-4.999999999999999,341.0,9.0
1.0,2.0,162.74305516599998,165.08646110600012,90.0,90.0,0.0,0.0,165.1065722819999,7.000000000000001,237.0,7.000000000000001
80.0,80.0,0.0,0.0,1.0,3.0,165.82232556100007,167.36694809400024,167.3793558860002,0.0,107.0,0.0
0.0,,168.4041048600002,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,385.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,170.95670348500016,0.0,0.0,0.0,197.0,0.0
1.0,4.0,173.47669721800003,174.14741708300016,90.0,90.0,0.0,0.0,174.1543453600002,4.999999999999999,106.0,6.0
0.0,,176.53169250200017,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,119.0,9.0
1.0,4.0,179.09706217800021,180.3065938210002,90.0,90.0,0.0,0.0,180.31335227499994,4.999999999999999,337.0,9.0
80.0,80.0,0.0,0.0,0.0,,182.15841918800015,0.0,0.0,0.0,14.0,0.0
