Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,0.0,,4.869700933340937e-05,0.0,0.0,0.0,369.0,0.0
80.0,80.0,0.0,0.0,0.0,,2.553264009009581,0.0,0.0,0.0,355.0,0.0
80.0,80.0,0.0,0.0,0.0,,5.079700567002874,0.0,0.0,0.0,400.0,0.0
0.0,,7.632273466006154,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,237.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,10.236848031010595,0.0,0.0,0.0,301.0,0.0
80.0,80.0,0.0,0.0,0.0,,12.779589056997793,0.0,0.0,0.0,307.0,0.0
80.0,80.0,0.0,0.0,0.0,,15.30819905801036,0.0,0.0,0.0,238.0,0.0
80.0,80.0,0.0,0.0,0.0,,17.848085689998697,0.0,0.0,0.0,21.0,0.0
80.0,80.0,0.0,0.0,0.0,,20.39072935200238,0.0,0.0,0.0,381.0,0.0
80.0,80.0,0.0,0.0,0.0,,22.91311345800932,0.0,0.0,0.0,136.0,0.0
80.0,80.0,0.0,0.0,0.0,,25.435637829999905,0.0,0.0,0.0,80.0,0.0
80.0,80.0,0.0,0.0,0.0,,27.957453369002906,0.0,0.0,0.0,148.0,0.0
80.0,80.0,0.0,0.0,0.0,,30.522992076002993,0.0,0.0,0.0,400.0,0.0
80.0,80.0,0.0,0.0,0.0,,33.02739893500984,0.0,0.0,0.0,217.0,0.0
0.0,,35.573092493999866,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,357.0,9.0
80.0,80.0,0.0,0.0,0.0,,38.204544006002834,0.0,0.0,0.0,143.0,0.0
80.0,80.0,0.0,0.0,0.0,,40.76583483100694,0.0,0.0,0.0,429.0,0.0
0.0,,43.35215779300779,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,15.0,9.0
80.0,80.0,0.0,0.0,1.0,2.0,45.96045374700043,47.002402836005786,47.018069869998726,0.0,277.0,0.0
1.0,4.0,48.50113006299944,50.13798601200688,90.0,90.0,0.0,0.0,50.143130135009415,7.000000000000001,294.0,6.0
80.0,80.0,0.0,0.0,0.0,,51.55853038400528,0.0,0.0,0.0,394.0,0.0
1.0,2.0,54.09089895299985,54.30676097900141,90.0,90.0,0.0,0.0,54.315236199996434,-7.000000000000001,367.0,6.0
80.0,80.0,0.0,0.0,0.0,,56.6564579840051,0.0,0.0,0.0,3.0,0.0
80.0,80.0,0.0,0.0,0.0,,59.20161816100881,0.0,0.0,0.0,23.0,0.0
80.0,80.0,0.0,0.0,0.0,,61.737570700002834,0.0,0.0,0.0,142.0,0.0
80.0,80.0,0.0,0.0,0.0,,64.27241300299647,0.0,0.0,0.0,403.0,0.0
0.0,,66.84962570700736,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,65.0,9.0
1.0,3.0,69.42423442901054,69.98563353999634,90.0,90.0,0.0,0.0,69.99258098400605,-4.999999999999999,68.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,72.00901299899851,0.0,0.0,0.0,227.0,0.0
80.0,80.0,0.0,0.0,0.0,,74.58053031700547,0.0,0.0,0.0,38.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,77.1321911670093,78.59062558499863,78.6109245819971,0.0,261.0,0.0
1.0,3.0,79.67726256100286,81.0901489520038,90.0,90.0,0.0,0.0,81.11458476400003,4.999999999999999,113.0,6.0
0.0,,82.79047055100091,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,224.0,7.000000000000001
0.0,,85.39054130500881,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,191.0,6.0
80.0,80.0,0.0,0.0,0.0,,87.94893412200327,0.0,0.0,0.0,63.0,0.0
80.0,80.0,0.0,0.0,0.0,,90.51430258899927,0.0,0.0,0.0,337.0,0.0
80.0,80.0,0.0,0.0,0.0,,93.02316449199861,0.0,0.0,0.0,68.0,0.0
80.0,80.0,0.0,0.0,0.0,,95.58045450200734,0.0,0.0,0.0,255.0,0.0
80.0,80.0,0.0,0.0,0.0,,98.12196238900651,0.0,0.0,0.0,353.0,0.0
80.0,80.0,0.0,0.0,0.0,,100.66849841100338,0.0,0.0,0.0,371.0,0.0
80.0,80.0,0.0,0.0,0.0,,103.23069322500669,0.0,0.0,0.0,403.0,0.0
80.0,80.0,0.0,0.0,0.0,,105.79853400999855,0.0,0.0,0.0,264.0,0.0
0.0,,108.38430509100726,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,172.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,110.94107158000406,0.0,0.0,0.0,120.0,0.0
0.0,,113.47559987600835,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,371.0,7.000000000000001
0.0,,116.11098250299983,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,237.0,6.0
