Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,4.0,0.01892474199996741,-4.999999999999999,177.0,6.0,0.6,1
1.0,4.0,4.898684290999995,-7.000000000000001,50.0,8.000000000000002,0.5,1
1.0,1.0,9.854061994999938,4.999999999999999,158.0,9.0,0.1,1
1.0,1.0,14.698456811999904,-7.000000000000001,191.0,6.0,0.2,1
1.0,1.0,19.482433193999896,7.000000000000001,369.0,6.0,0.4,1
1.0,1.0,24.457238236999956,-7.000000000000001,77.0,8.000000000000002,0.3,1
1.0,4.0,29.09009248899997,-4.999999999999999,329.0,6.0,0.7,1
1.0,4.0,33.83840777199998,7.000000000000001,9.0,6.0,0.6,2
1.0,4.0,38.78555542099991,4.999999999999999,24.0,9.0,0.5,2
1.0,1.0,43.6179020809999,-4.999999999999999,378.0,7.000000000000001,0.1,1
1.0,1.0,49.09052968799995,4.999999999999999,205.0,7.000000000000001,0.2,1
1.0,1.0,54.65140638699995,7.000000000000001,118.0,7.000000000000001,0.4,2
1.0,1.0,59.802174080999976,-4.999999999999999,204.0,7.000000000000001,0.3,1
1.0,4.0,64.46730032699998,-4.999999999999999,246.0,7.000000000000001,0.7,1
1.0,3.0,68.85777232599992,-7.000000000000001,146.0,8.000000000000002,0.6,1
1.0,4.0,75.03409050999994,-4.999999999999999,8.0,6.0,0.5,1
1.0,1.0,79.97038529499991,7.000000000000001,104.0,7.000000000000001,0.1,1
1.0,1.0,84.93490933999999,-7.000000000000001,126.0,9.0,0.2,2
1.0,1.0,92.33038436899994,-7.000000000000001,177.0,6.0,0.4,1
1.0,3.0,97.09264223499997,-7.000000000000001,398.0,8.000000000000002,0.3,1
