Realface_response,Realface_confidence,Realface_Image_Onset_Time,RealFace_Image_Response_Time,Hallucination_response,Hallucination_confidence,Noise_Onset_Time,Hallucination_Response_Time,ConfidenceScreen_Onset,Face_Position,Noise_Number,Face_Size
80.0,80.0,0.0,0.0,0.0,,2.7813000087917317e-05,0.0,0.0,0.0,298.0,0.0
80.0,80.0,0.0,0.0,0.0,,2.5580130540001846,0.0,0.0,0.0,347.0,0.0
80.0,80.0,0.0,0.0,0.0,,5.120644359999915,0.0,0.0,0.0,309.0,0.0
80.0,80.0,0.0,0.0,0.0,,7.623092326999995,0.0,0.0,0.0,142.0,0.0
0.0,,10.155392838999887,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,247.0,6.0
80.0,80.0,0.0,0.0,0.0,,12.731427231999987,0.0,0.0,0.0,84.0,0.0
0.0,,15.303796573,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,15.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,17.880267016999824,0.0,0.0,0.0,321.0,0.0
80.0,80.0,0.0,0.0,0.0,,20.392534392000016,0.0,0.0,0.0,145.0,0.0
80.0,80.0,0.0,0.0,0.0,,22.89680228799989,0.0,0.0,0.0,236.0,0.0
80.0,80.0,0.0,0.0,0.0,,25.402124720999836,0.0,0.0,0.0,202.0,0.0
80.0,80.0,0.0,0.0,0.0,,27.90316017999976,0.0,0.0,0.0,334.0,0.0
80.0,80.0,0.0,0.0,0.0,,30.4078018539999,0.0,0.0,0.0,182.0,0.0
80.0,80.0,0.0,0.0,0.0,,32.963662915999976,0.0,0.0,0.0,118.0,0.0
80.0,80.0,0.0,0.0,0.0,,35.52622916700011,0.0,0.0,0.0,228.0,0.0
80.0,80.0,0.0,0.0,0.0,,38.02721099400014,0.0,0.0,0.0,313.0,0.0
80.0,80.0,0.0,0.0,0.0,,40.53876309799989,0.0,0.0,0.0,391.0,0.0
0.0,,43.11608520499976,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,404.0,9.0
80.0,80.0,0.0,0.0,0.0,,45.68814570599989,0.0,0.0,0.0,276.0,0.0
80.0,80.0,0.0,0.0,0.0,,48.25154529200017,0.0,0.0,0.0,405.0,0.0
80.0,80.0,0.0,0.0,0.0,,50.76034526300009,0.0,0.0,0.0,54.0,0.0
80.0,80.0,0.0,0.0,0.0,,53.32358053400003,0.0,0.0,0.0,215.0,0.0
80.0,80.0,0.0,0.0,0.0,,55.88939682899991,0.0,0.0,0.0,419.0,0.0
80.0,80.0,0.0,0.0,0.0,,58.39840910800012,0.0,0.0,0.0,404.0,0.0
80.0,80.0,0.0,0.0,0.0,,60.910493274000146,0.0,0.0,0.0,374.0,0.0
80.0,80.0,0.0,0.0,0.0,,63.476119260999894,0.0,0.0,0.0,178.0,0.0
80.0,80.0,0.0,0.0,0.0,,65.99686457799999,0.0,0.0,0.0,103.0,0.0
0.0,,68.52924008399987,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,191.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,71.09913238699983,0.0,0.0,0.0,424.0,0.0
80.0,80.0,0.0,0.0,0.0,,73.6252384469999,0.0,0.0,0.0,12.0,0.0
80.0,80.0,0.0,0.0,0.0,,76.14490165000007,0.0,0.0,0.0,351.0,0.0
0.0,,78.67734661099985,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,126.0,8.000000000000002
0.0,,81.27526084400006,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,133.0,9.0
80.0,80.0,0.0,0.0,0.0,,83.88320150199979,0.0,0.0,0.0,237.0,0.0
0.0,,86.40605174999973,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,403.0,6.0
80.0,80.0,0.0,0.0,0.0,,88.95723313600001,0.0,0.0,0.0,61.0,0.0
80.0,80.0,0.0,0.0,0.0,,91.47833115399999,0.0,0.0,0.0,357.0,0.0
80.0,80.0,0.0,0.0,0.0,,94.0432267289998,0.0,0.0,0.0,173.0,0.0
80.0,80.0,0.0,0.0,0.0,,96.55337645999998,0.0,0.0,0.0,167.0,0.0
80.0,80.0,0.0,0.0,0.0,,99.06197126300003,0.0,0.0,0.0,60.0,0.0
0.0,,101.593356933,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,400.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,104.16149150399997,0.0,0.0,0.0,194.0,0.0
80.0,80.0,0.0,0.0,0.0,,106.72604091799985,0.0,0.0,0.0,286.0,0.0
80.0,80.0,0.0,0.0,0.0,,109.29280046299982,0.0,0.0,0.0,140.0,0.0
80.0,80.0,0.0,0.0,0.0,,111.84739963799984,0.0,0.0,0.0,356.0,0.0
80.0,80.0,0.0,0.0,0.0,,114.34782274700001,0.0,0.0,0.0,203.0,0.0
80.0,80.0,0.0,0.0,0.0,,116.8487751990001,0.0,0.0,0.0,328.0,0.0
80.0,80.0,0.0,0.0,0.0,,119.35131703299976,0.0,0.0,0.0,411.0,0.0
0.0,,121.8902376269998,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,300.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,124.45417185499991,0.0,0.0,0.0,294.0,0.0
80.0,80.0,0.0,0.0,0.0,,127.00505591599995,0.0,0.0,0.0,150.0,0.0
80.0,80.0,0.0,0.0,0.0,,129.565249538,0.0,0.0,0.0,224.0,0.0
80.0,80.0,0.0,0.0,0.0,,132.1311527160001,0.0,0.0,0.0,214.0,0.0
80.0,80.0,0.0,0.0,0.0,,134.6420317259999,0.0,0.0,0.0,180.0,0.0
80.0,80.0,0.0,0.0,0.0,,137.15677325700017,0.0,0.0,0.0,166.0,0.0
0.0,,139.67933445200015,0.0,90.0,90.0,0.0,0.0,0.0,4.999999999999999,256.0,8.000000000000002
0.0,,142.25837794400013,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,276.0,8.000000000000002
0.0,,144.8547321179999,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,62.0,9.0
0.0,,147.44855629699987,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,209.0,6.0
80.0,80.0,0.0,0.0,0.0,,150.02327240500017,0.0,0.0,0.0,326.0,0.0
80.0,80.0,0.0,0.0,0.0,,152.523612253,0.0,0.0,0.0,102.0,0.0
80.0,80.0,0.0,0.0,0.0,,155.04128359300012,0.0,0.0,0.0,208.0,0.0
80.0,80.0,0.0,0.0,0.0,,157.60736247400018,0.0,0.0,0.0,348.0,0.0
1.0,4.0,160.1905061540001,162.02764699699992,90.0,90.0,0.0,0.0,162.03471667799977,4.999999999999999,376.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,163.7283504699999,0.0,0.0,0.0,82.0,0.0
80.0,80.0,0.0,0.0,0.0,,166.23305360799986,0.0,0.0,0.0,241.0,0.0
80.0,80.0,0.0,0.0,0.0,,168.79209757299986,0.0,0.0,0.0,26.0,0.0
80.0,80.0,0.0,0.0,0.0,,171.29709204799974,0.0,0.0,0.0,245.0,0.0
80.0,80.0,0.0,0.0,1.0,2.0,173.85650441300004,175.0193632669998,175.02587935400015,0.0,69.0,0.0
80.0,80.0,0.0,0.0,0.0,,176.3847017439998,0.0,0.0,0.0,116.0,0.0
0.0,,178.96861708400002,0.0,90.0,90.0,0.0,0.0,0.0,-4.999999999999999,187.0,9.0
80.0,80.0,0.0,0.0,0.0,,181.5461171259999,0.0,0.0,0.0,169.0,0.0
80.0,80.0,0.0,0.0,0.0,,184.06037867299983,0.0,0.0,0.0,267.0,0.0
0.0,,186.5839644560001,0.0,90.0,90.0,0.0,0.0,0.0,7.000000000000001,45.0,7.000000000000001
80.0,80.0,0.0,0.0,0.0,,189.15133444799994,0.0,0.0,0.0,185.0,0.0
0.0,,191.68355360499982,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,405.0,8.000000000000002
80.0,80.0,0.0,0.0,0.0,,194.2626338760001,0.0,0.0,0.0,225.0,0.0
80.0,80.0,0.0,0.0,0.0,,196.82835185500016,0.0,0.0,0.0,394.0,0.0
80.0,80.0,0.0,0.0,0.0,,199.3428065170001,0.0,0.0,0.0,312.0,0.0
0.0,,201.86503118400015,0.0,90.0,90.0,0.0,0.0,0.0,-7.000000000000001,42.0,9.0
80.0,80.0,0.0,0.0,0.0,,204.4298674319998,0.0,0.0,0.0,185.0,0.0
80.0,80.0,0.0,0.0,0.0,,206.95020666499977,0.0,0.0,0.0,78.0,0.0
80.0,80.0,0.0,0.0,0.0,,209.45071913699985,0.0,0.0,0.0,149.0,0.0
