Face_response,Face_confidence,Face_Onset_Time,Face_Position,Noise_Number,Face_Size,Opacity,Direction_Report
1.0,1.0,0.011438004992669448,4.999999999999999,308.0,9.0,0.3,1
1.0,4.0,5.573431912998785,-7.000000000000001,309.0,6.0,0.4,1
1.0,1.0,10.535755174991209,7.000000000000001,314.0,9.0,0.2,2
1.0,4.0,17.25687660499534,-4.999999999999999,24.0,7.000000000000001,0.7,1
1.0,4.0,22.20085085199389,4.999999999999999,211.0,7.000000000000001,0.6,2
1.0,2.0,26.96045631400193,7.000000000000001,337.0,9.0,0.1,1
1.0,4.0,32.50398518200382,-7.000000000000001,359.0,8.000000000000002,0.5,1
1.0,4.0,37.40895533299772,-4.999999999999999,12.0,6.0,0.3,1
1.0,4.0,42.319781878002686,4.999999999999999,393.0,8.000000000000002,0.4,2
1.0,2.0,47.120761486003175,-7.000000000000001,14.0,7.000000000000001,0.2,2
1.0,4.0,53.24069962700014,-4.999999999999999,89.0,6.0,0.7,1
1.0,4.0,58.02663285199378,-4.999999999999999,84.0,6.0,0.6,1
1.0,1.0,62.833328111999435,-7.000000000000001,365.0,9.0,0.1,2
1.0,3.0,68.20069063399569,-7.000000000000001,278.0,8.000000000000002,0.5,1
1.0,1.0,73.63280563800072,-4.999999999999999,172.0,8.000000000000002,0.3,2
1.0,1.0,79.21640086499974,4.999999999999999,398.0,6.0,0.4,1
1.0,1.0,84.16817721299594,-7.000000000000001,322.0,8.000000000000002,0.2,1
1.0,4.0,89.69670406699879,-4.999999999999999,275.0,8.000000000000002,0.7,1
1.0,4.0,94.26454086200101,7.000000000000001,186.0,6.0,0.6,2
1.0,3.0,99.19884847500362,-4.999999999999999,286.0,8.000000000000002,0.1,2
