"subnumber","threshold_freq","threshold_bayes","bayes_lower","bayes_upper","n_trials"
"10MP",0.376883167476021,0.361260667877111,0.300958078221586,0.419902331774338,140
"10MPV3",0.253743015760178,0.257488670252094,0.16204269992303,0.334045573972426,140
"11MPV3",0.246168692733621,0.245837602090358,0.188979493738298,0.297884477767063,140
"12MP",0.142433369397467,0.16770842843534,0.0889120642303951,0.230342442839015,140
"12MPV3",0.372699203610081,0.359115516214787,0.299514641330895,0.419735201407095,140
"13MP",0.388208257980552,0.36008209869263,0.276930081419427,0.433999140823546,140
"13MPV3",0.205127593579884,0.21570571185858,0.140711739789519,0.278968797699385,140
"14MP",0.268342556332197,0.266300216968153,0.211928204069457,0.318176350141684,140
"14MPV3",0.188900900598329,0.191633372839773,0.136634911572155,0.243372464839188,140
"15MP",0.279618998803906,0.27725512482732,0.223437343425687,0.327614082898935,140
"15MPV3",0.29859182180136,0.292828124356016,0.228644391803023,0.351722109083338,140
"16MP",0.332744791311733,0.324547933927773,0.267747119103918,0.381547456444213,140
"17MP",0.247943785848824,0.251689319170299,0.16552858253726,0.323514541739579,140
"17MPV3",0.254602620509279,0.253704673548832,0.194147400406116,0.306984851461477,140
"18MP",0.255705618109269,0.256675596716138,0.186988922476122,0.318734421420329,140
"18MPV3",0.319300060047045,0.31098090739681,0.251068746965096,0.369637504367607,140
"19MP",0.251343186697944,0.267073648496583,0.137302673002511,0.376427746965359,140
"19MPV3",0.244050657744775,0.244609140637396,0.184874926730197,0.298426364500465,140
"1MPV3",0.223013270250656,0.2256726072649,0.166453346226138,0.279682204598521,140
"20MP",0.324943416006826,0.31402227686907,0.245567632575827,0.379234363044621,140
"20MPV3",0.197137340787934,0.200904272637545,0.139973411898161,0.254165843606279,140
"21MP",0.253853433886359,0.253570050811087,0.202944434395822,0.300792379751609,140
"21MPV3",0.189820997640377,0.193452737646409,0.132161926429197,0.245087394932093,140
"22MP",0.324908627725004,0.328075140281271,0.287805847389464,0.368590532668341,140
"23MP",0.0919828026187172,0.149353120738382,0.0598106421769245,0.222466244414806,140
"24MP",0.308957503189072,0.303988265113606,0.249931315201095,0.361039439414805,140
"25MP",0.342601177168214,0.319238119738461,0.211763284786195,0.411047578507296,140
"26MP",0.207892520545036,0.214213220294757,0.146843667296851,0.273725091565502,140
"27MP",0.290855986936843,0.286135478412529,0.223397864794679,0.347222995930597,140
"28MP",0.338913246223968,0.327844063057981,0.262865502901803,0.390720034155109,140
"29MP",0.609432005724747,0.421025844161193,0.257320540949823,0.529640391483589,140
"2MPV3",0.274528184099032,0.272822092800464,0.209375266732522,0.329992221550278,140
"3MPV3",0.19550100009316,0.200495607415047,0.139072639744771,0.252597360507453,140
"4MP",0.206746942351069,0.209333207487776,0.155829621765327,0.256121077715835,140
"4MPV3",0.192357237442247,0.195690263026839,0.131183218013932,0.249584408178139,140
"5MPV3",0.224118930149005,0.229346942506084,0.160028489323175,0.288126941712134,140
"6MPV3",0.198833883651219,0.200040627598109,0.14726425232606,0.247662098630531,140
"7MPV3",0.219759803775846,0.222254805165825,0.165444300976016,0.2744458291427,140
"8MP",0.261461568603581,0.260448470921419,0.206431218468132,0.310628837515815,145
"8MPV3",0.221367789004945,0.223378304315372,0.168532345965237,0.271695452616594,140
"9MPV3",0.194738560632159,0.198718012688986,0.13570805411717,0.253519876294788,140
