"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"1",1,4,0.0186929940009577,5,302,8,0.7,2,"1MPV3",0
"2",1,4,6.20847336299994,-5,44,9,0.5,1,"1MPV3",0
"3",1,1,13.3348173190006,5,235,7,0.3,1,"1MPV3",0
"4",1,1,20.3144959189995,-7,420,6,0.1,2,"1MPV3",0
"5",1,4,26.5114380430005,5,48,7,0.6,2,"1MPV3",0
"6",1,4,33.6027884699997,-7,110,6,0.4,1,"1MPV3",0
"7",1,1,39.5932695780011,-5,128,9,0.2,2,"1MPV3",0
"8",1,4,46.071016459,5,357,8,0.7,2,"1MPV3",0
"9",1,4,52.0900795180005,-5,127,9,0.5,1,"1MPV3",0
"10",1,1,58.7050807220003,5,286,8,0.3,2,"1MPV3",0
"11",1,1,64.4941121780012,5,93,8,0.1,2,"1MPV3",0
"12",1,4,71.535483306001,-5,28,6,0.6,1,"1MPV3",0
"13",1,0,76.8881299519999,5,252,7,0.4,2,"1MPV3",0
"14",1,1,84.3429351340001,5,176,6,0.2,2,"1MPV3",0
"15",1,4,90.9634006529996,7,120,9,0.7,2,"1MPV3",0
"16",1,4,96.3987091279996,5,45,9,0.5,2,"1MPV3",0
"17",1,4,101.782381192001,7,268,8,0.3,2,"1MPV3",0
"18",1,1,107.135997408001,-5,175,9,0.1,1,"1MPV3",0
"19",1,4,113.367106131,-5,30,9,0.6,1,"1MPV3",0
"20",1,4,118.904278595,5,348,8,0.4,2,"1MPV3",0
"21",1,1,0.0315760630001023,7,298,6,0.2,1,"1MPV3",1
"22",1,1,5.47204733800027,5,400,8,0.1,1,"1MPV3",1
"23",1,4,11.194353977,7,175,9,0.6,2,"1MPV3",1
"24",1,4,17.2251381589995,7,320,6,0.3,2,"1MPV3",1
"25",1,4,22.206430323,5,360,6,0.7,2,"1MPV3",1
"26",1,4,27.2964973259986,7,136,7,0.5,2,"1MPV3",1
"27",1,1,32.3605888410002,5,377,8,0.4,1,"1MPV3",1
"28",1,1,37.5775103209999,-7,128,6,0.2,1,"1MPV3",1
"29",1,1,44.2573422309997,7,29,9,0.1,1,"1MPV3",1
"30",1,4,50.5143129949993,-7,171,6,0.6,1,"1MPV3",1
"31",1,1,56.1949984919993,7,390,9,0.3,1,"1MPV3",1
"32",1,4,62.1320406169998,5,291,8,0.7,2,"1MPV3",1
"33",1,4,67.0578819879993,7,407,8,0.5,2,"1MPV3",1
"34",1,4,72.3205946019989,-5,405,7,0.4,1,"1MPV3",1
"35",1,1,77.5217279150002,-7,192,6,0.2,1,"1MPV3",1
"36",1,1,82.9493961249991,-7,81,9,0.1,1,"1MPV3",1
"37",1,4,88.1682053120003,-5,221,6,0.6,1,"1MPV3",1
"38",1,1,94.1440003949992,7,99,9,0.3,1,"1MPV3",1
"39",1,4,99.9408211829996,-5,341,7,0.7,1,"1MPV3",1
